"Название Услуги","Ориентировочная Стоимость","Срок Исполнения","Размер Предоплаты"
"построение и обслуживание структурированных кабельных систем (СКС)","6204210","28","3102105"
"создание и поддержка интеллектуальных медиасистем","2415715","322","1207857"
"телефония","4788164","339","2394082"
"создание виртуального офиса","701151","195","350575"
"организация резервного копирования","2878386","56","1439193"
"администрирование сетей и серверов","8370479","136","4185239"
"техническая поддержка рабочих станций и ИТ сервисов","6090100","25","3045050"
"веб-разработка","4403242","111","2201621"
"создание мобильных систем","4623210","92","2311605"
"создание и обслуживание систем контроля доступа к портам и устройствам","6584354","221","2194784"
"организацию антивирусной защиты","5422748","295","2711374"
"решения касающиеся сетевой безопасности и отражения угроз","1068611","177","356203"
"организация систем видеонаблюдения","8568081","176","2856027"
"построение и обслуживание структурированных кабельных систем (СКС)","3947200","256","1973600"
"создание и поддержка интеллектуальных медиасистем","5002601","14","1667533"
"телефония","4848811","164","1616270"
"создание виртуального офиса","2501660","332","833886"
"организация резервного копирования","1604835","281","534945"
"администрирование сетей и серверов","8406018","16","4203009"
"техническая поддержка рабочих станций и ИТ сервисов","1242258","84","414086"
"веб-разработка","556611","149","278305"
"создание мобильных систем","5515185","62","2757592"
"создание и обслуживание систем контроля доступа к портам и устройствам","3785086","261","1261695"
"организацию антивирусной защиты","1710747","358","855373"
"решения касающиеся сетевой безопасности и отражения угроз","6841470","304","3420735"
"организация систем видеонаблюдения","5214774","105","2607387"
"построение и обслуживание структурированных кабельных систем (СКС)","9727791","131","3242597"
"создание и поддержка интеллектуальных медиасистем","9689676","169","4844838"
"телефония","2068776","232","1034388"
"создание виртуального офиса","4513636","79","1504545"
"организация резервного копирования","6205788","94","3102894"
"администрирование сетей и серверов","2620309","71","1310154"
"техническая поддержка рабочих станций и ИТ сервисов","5221158","112","2610579"
"веб-разработка","6258915","335","3129457"
"создание мобильных систем","9138060","160","4569030"
"создание и обслуживание систем контроля доступа к портам и устройствам","6058490","119","2019496"
"организацию антивирусной защиты","5768609","26","2884304"
"решения касающиеся сетевой безопасности и отражения угроз","8212886","226","2737628"
"организация систем видеонаблюдения","5374974","294","2687487"
"построение и обслуживание структурированных кабельных систем (СКС)","6919294","57","3459647"
"создание и поддержка интеллектуальных медиасистем","7757230","270","3878615"
"телефония","9458828","207","4729414"
"создание виртуального офиса","5085974","120","2542987"
"организация резервного копирования","4035022","42","1345007"
"администрирование сетей и серверов","122415","77","61207"
"техническая поддержка рабочих станций и ИТ сервисов","4527168","322","1509056"
"веб-разработка","6162002","33","2054000"
"создание мобильных систем","2228231","277","1114115"
"создание и обслуживание систем контроля доступа к портам и устройствам","3312563","288","1104187"
"организацию антивирусной защиты","6732366","181","3366183"
"решения касающиеся сетевой безопасности и отражения угроз","7314170","78","3657085"
"организация систем видеонаблюдения","5909797","71","1969932"
"построение и обслуживание структурированных кабельных систем (СКС)","1493688","301","497896"
"создание и поддержка интеллектуальных медиасистем","2471153","20","823717"
"телефония","7389686","31","2463228"
"создание виртуального офиса","1575945","149","525315"
"организация резервного копирования","4413457","55","2206728"
"администрирование сетей и серверов","7323198","285","2441066"
"техническая поддержка рабочих станций и ИТ сервисов","2286969","160","1143484"
"веб-разработка","5336933","132","1778977"
"создание мобильных систем","3725218","83","1241739"
"создание и обслуживание систем контроля доступа к портам и устройствам","6350455","215","2116818"
"организацию антивирусной защиты","7611707","328","2537235"
"решения касающиеся сетевой безопасности и отражения угроз","7629064","143","3814532"
"организация систем видеонаблюдения","5728968","320","1909656"
"построение и обслуживание структурированных кабельных систем (СКС)","9719341","161","3239780"
"создание и поддержка интеллектуальных медиасистем","9269829","166","4634914"
"телефония","5481153","208","1827051"
"создание виртуального офиса","6991542","261","3495771"
"организация резервного копирования","6462197","187","2154065"
"администрирование сетей и серверов","6963557","237","2321185"
"техническая поддержка рабочих станций и ИТ сервисов","1458833","308","486277"
"веб-разработка","3613914","225","1204638"
"создание мобильных систем","6609093","250","3304546"
"создание и обслуживание систем контроля доступа к портам и устройствам","9738754","83","4869377"
"организацию антивирусной защиты","9615538","309","3205179"
"решения касающиеся сетевой безопасности и отражения угроз","7961821","292","2653940"
"организация систем видеонаблюдения","7957356","237","2652452"
"построение и обслуживание структурированных кабельных систем (СКС)","5617673","316","2808836"
"создание и поддержка интеллектуальных медиасистем","3306109","63","1653054"
"телефония","1835753","103","611917"
"создание виртуального офиса","617451","245","205817"
"организация резервного копирования","2229189","147","743063"
"администрирование сетей и серверов","2894237","110","964745"
"техническая поддержка рабочих станций и ИТ сервисов","1346534","98","673267"
"веб-разработка","9884212","146","3294737"
"создание мобильных систем","6460206","197","3230103"
"создание и обслуживание систем контроля доступа к портам и устройствам","9309518","278","4654759"
"организацию антивирусной защиты","5441821","21","2720910"
"решения касающиеся сетевой безопасности и отражения угроз","6927997","219","2309332"
"организация систем видеонаблюдения","8777112","175","2925704"
"построение и обслуживание структурированных кабельных систем (СКС)","6336753","332","2112251"
"создание и поддержка интеллектуальных медиасистем","9586398","274","3195466"
"телефония","2317857","308","1158928"
"создание виртуального офиса","1924492","120","962246"
"организация резервного копирования","4171695","233","2085847"
"администрирование сетей и серверов","8880348","128","2960116"
"техническая поддержка рабочих станций и ИТ сервисов","8498035","259","2832678"
"веб-разработка","9491315","116","4745657"
"создание мобильных систем","2572103","291","857367"
"создание и обслуживание систем контроля доступа к портам и устройствам","3431669","352","1143889"
"организацию антивирусной защиты","5611840","293","2805920"
"решения касающиеся сетевой безопасности и отражения угроз","3347855","78","1673927"
"организация систем видеонаблюдения","3878774","132","1292924"
"построение и обслуживание структурированных кабельных систем (СКС)","4934864","64","1644954"
"создание и поддержка интеллектуальных медиасистем","7809600","361","3904800"
"телефония","5064356","198","2532178"
"создание виртуального офиса","6799458","55","3399729"
"организация резервного копирования","5647935","296","1882645"
"администрирование сетей и серверов","329433","218","164716"
"техническая поддержка рабочих станций и ИТ сервисов","5970707","241","2985353"
"веб-разработка","2667043","226","889014"
"создание мобильных систем","3506564","355","1753282"
"создание и обслуживание систем контроля доступа к портам и устройствам","6830000","253","2276666"
"организацию антивирусной защиты","9142440","356","3047480"
"решения касающиеся сетевой безопасности и отражения угроз","1589135","97","529711"
"организация систем видеонаблюдения","2146352","31","1073176"
"построение и обслуживание структурированных кабельных систем (СКС)","3278956","223","1092985"
"создание и поддержка интеллектуальных медиасистем","8809097","217","4404548"
"телефония","1639136","330","546378"
"создание виртуального офиса","3241542","321","1080514"
"организация резервного копирования","442569","364","221284"
"администрирование сетей и серверов","2388399","224","796133"
"техническая поддержка рабочих станций и ИТ сервисов","7652643","23","3826321"
"веб-разработка","1791391","349","895695"
"создание мобильных систем","4660598","175","1553532"
"создание и обслуживание систем контроля доступа к портам и устройствам","8796881","130","4398440"
"организацию антивирусной защиты","2981600","263","993866"
"решения касающиеся сетевой безопасности и отражения угроз","9215462","35","3071820"
"организация систем видеонаблюдения","302828","143","151414"
"построение и обслуживание структурированных кабельных систем (СКС)","3111259","44","1037086"
"создание и поддержка интеллектуальных медиасистем","8260417","203","2753472"
"телефония","825923","280","275307"
"создание виртуального офиса","598443","182","299221"
"организация резервного копирования","7345630","342","2448543"
"администрирование сетей и серверов","6792834","90","2264278"
"техническая поддержка рабочих станций и ИТ сервисов","5928981","225","1976327"
"веб-разработка","1967250","157","983625"
"создание мобильных систем","7798305","352","2599435"
"создание и обслуживание систем контроля доступа к портам и устройствам","9188435","22","4594217"
"организацию антивирусной защиты","8776952","279","2925650"
"решения касающиеся сетевой безопасности и отражения угроз","1823194","26","607731"
"организация систем видеонаблюдения","7152501","337","2384167"
"построение и обслуживание структурированных кабельных систем (СКС)","7171948","89","2390649"
"создание и поддержка интеллектуальных медиасистем","249383","216","83127"
"телефония","1448273","281","724136"
"создание виртуального офиса","4635718","80","1545239"
"организация резервного копирования","3150318","34","1050106"
"администрирование сетей и серверов","4759163","53","1586387"
"техническая поддержка рабочих станций и ИТ сервисов","4603982","56","1534660"
"веб-разработка","1138349","129","379449"
"создание мобильных систем","7741330","137","3870665"
"создание и обслуживание систем контроля доступа к портам и устройствам","8183217","92","4091608"
"организацию антивирусной защиты","7755605","180","3877802"
"решения касающиеся сетевой безопасности и отражения угроз","7109154","105","3554577"
"организация систем видеонаблюдения","4060496","308","1353498"
"построение и обслуживание структурированных кабельных систем (СКС)","2627433","178","875811"
"создание и поддержка интеллектуальных медиасистем","2668425","268","889475"
"телефония","6841615","357","2280538"
"создание виртуального офиса","5882286","20","1960762"
"организация резервного копирования","5610218","69","2805109"
"администрирование сетей и серверов","6080873","328","3040436"
"техническая поддержка рабочих станций и ИТ сервисов","5247296","294","2623648"
"веб-разработка","5508803","282","2754401"
"создание мобильных систем","5615204","313","2807602"
"создание и обслуживание систем контроля доступа к портам и устройствам","3144009","188","1572004"
"организацию антивирусной защиты","5545047","126","1848349"
"решения касающиеся сетевой безопасности и отражения угроз","5830311","40","2915155"
"организация систем видеонаблюдения","6168622","200","3084311"
"построение и обслуживание структурированных кабельных систем (СКС)","4948110","213","2474055"
"создание и поддержка интеллектуальных медиасистем","5374299","82","2687149"
"телефония","9794137","347","3264712"
"создание виртуального офиса","9687853","205","3229284"
"организация резервного копирования","8534181","161","4267090"
"администрирование сетей и серверов","8664496","358","2888165"
"техническая поддержка рабочих станций и ИТ сервисов","6182764","160","3091382"
"веб-разработка","6377558","128","3188779"
"создание мобильных систем","153344","48","51114"
"создание и обслуживание систем контроля доступа к портам и устройствам","3232131","51","1077377"
"организацию антивирусной защиты","7171567","136","3585783"
"решения касающиеся сетевой безопасности и отражения угроз","9872330","313","3290776"
"организация систем видеонаблюдения","2338318","87","1169159"
"построение и обслуживание структурированных кабельных систем (СКС)","436028","210","145342"
"создание и поддержка интеллектуальных медиасистем","4031000","218","1343666"
"телефония","3414848","137","1138282"
"создание виртуального офиса","8161206","283","2720402"
"организация резервного копирования","2414133","161","1207066"
"администрирование сетей и серверов","3222860","282","1074286"
"техническая поддержка рабочих станций и ИТ сервисов","6079873","268","3039936"
"веб-разработка","5240240","191","1746746"
"создание мобильных систем","3718794","297","1239598"
"создание и обслуживание систем контроля доступа к портам и устройствам","1187725","190","593862"
"организацию антивирусной защиты","2230541","252","1115270"
"решения касающиеся сетевой безопасности и отражения угроз","8299488","34","2766496"
"организация систем видеонаблюдения","920582","73","306860"
"построение и обслуживание структурированных кабельных систем (СКС)","265537","248","132768"
"создание и поддержка интеллектуальных медиасистем","8134075","40","2711358"
"телефония","1087536","279","362512"
"создание виртуального офиса","6315613","23","2105204"
"организация резервного копирования","2864410","68","1432205"
"администрирование сетей и серверов","7252349","133","3626174"
"техническая поддержка рабочих станций и ИТ сервисов","5431593","326","2715796"
"веб-разработка","4990329","311","2495164"
"создание мобильных систем","3772072","192","1257357"
"создание и обслуживание систем контроля доступа к портам и устройствам","1195202","276","398400"
"организацию антивирусной защиты","3771789","54","1257263"
"решения касающиеся сетевой безопасности и отражения угроз","9232267","288","4616133"
"организация систем видеонаблюдения","1897495","172","632498"
"построение и обслуживание структурированных кабельных систем (СКС)","5017364","173","2508682"
"создание и поддержка интеллектуальных медиасистем","240884","46","120442"
"телефония","1068035","120","534017"
"создание виртуального офиса","6139142","48","3069571"
"организация резервного копирования","4322882","101","1440960"
"администрирование сетей и серверов","1247520","165","415840"
"техническая поддержка рабочих станций и ИТ сервисов","3898715","140","1299571"
"веб-разработка","885702","104","442851"
"создание мобильных систем","5241273","213","2620636"
"создание и обслуживание систем контроля доступа к портам и устройствам","6528863","53","2176287"
"организацию антивирусной защиты","676621","153","225540"
"решения касающиеся сетевой безопасности и отражения угроз","4359594","116","2179797"
"организация систем видеонаблюдения","9865035","233","3288345"
"построение и обслуживание структурированных кабельных систем (СКС)","2607902","150","869300"
"создание и поддержка интеллектуальных медиасистем","9357541","357","3119180"
"телефония","6582065","104","3291032"
"создание виртуального офиса","6379729","105","3189864"
"организация резервного копирования","8817093","207","2939031"
"администрирование сетей и серверов","975090","315","325030"
"техническая поддержка рабочих станций и ИТ сервисов","3169934","256","1584967"
"веб-разработка","7098700","294","3549350"
"создание мобильных систем","8508274","273","4254137"
"создание и обслуживание систем контроля доступа к портам и устройствам","6783221","38","2261073"
"организацию антивирусной защиты","7895312","239","3947656"
"решения касающиеся сетевой безопасности и отражения угроз","6887431","112","2295810"
