"Название Услуги","Ориентировочная Стоимость","Срок Исполнения","Размер Предоплаты"
"организация систем видеонаблюдения","4880865","24","2440432"
"построение и обслуживание структурированных кабельных систем (СКС)","7393109","135","2464369"
"создание и поддержка интеллектуальных медиасистем","9565051","253","3188350"
"телефония","8711630","306","2903876"
"создание виртуального офиса","3532553","115","1766276"
"организация резервного копирования","6093972","179","2031324"
"администрирование сетей и серверов","6643316","15","3321658"
"техническая поддержка рабочих станций и ИТ сервисов","7460865","281","3730432"
"веб-разработка","3201991","177","1600995"
"создание мобильных систем","7205142","163","3602571"
"создание и обслуживание систем контроля доступа к портам и устройствам","5478221","84","1826073"
"организацию антивирусной защиты","5730560","133","2865280"
"решения касающиеся сетевой безопасности и отражения угроз","9511274","176","4755637"
"организация систем видеонаблюдения","7797818","111","2599272"
"построение и обслуживание структурированных кабельных систем (СКС)","9845237","44","3281745"
"создание и поддержка интеллектуальных медиасистем","5295810","103","1765270"
"телефония","4841884","191","1613961"
"создание виртуального офиса","8537230","111","4268615"
"организация резервного копирования","5137172","352","1712390"
"администрирование сетей и серверов","5406046","53","1802015"
"техническая поддержка рабочих станций и ИТ сервисов","3273104","364","1091034"
"веб-разработка","1234485","295","617242"
"создание мобильных систем","9089776","99","3029925"
"создание и обслуживание систем контроля доступа к портам и устройствам","3442361","355","1147453"
"организацию антивирусной защиты","233223","188","116611"
"решения касающиеся сетевой безопасности и отражения угроз","5100675","166","2550337"
"организация систем видеонаблюдения","9764731","299","3254910"
"построение и обслуживание структурированных кабельных систем (СКС)","879417","184","439708"
"создание и поддержка интеллектуальных медиасистем","8071359","252","4035679"
"телефония","2212516","345","1106258"
"создание виртуального офиса","8946102","222","2982034"
"организация резервного копирования","5668312","262","1889437"
"администрирование сетей и серверов","8251833","122","2750611"
"техническая поддержка рабочих станций и ИТ сервисов","5905149","188","1968383"
"веб-разработка","3864999","329","1288333"
"создание мобильных систем","9364789","69","3121596"
"создание и обслуживание систем контроля доступа к портам и устройствам","3983077","264","1327692"
"организацию антивирусной защиты","9609675","274","4804837"
"решения касающиеся сетевой безопасности и отражения угроз","2577842","112","859280"
"организация систем видеонаблюдения","4926085","296","1642028"
"построение и обслуживание структурированных кабельных систем (СКС)","9284076","356","4642038"
"создание и поддержка интеллектуальных медиасистем","6060392","189","2020130"
"телефония","9673687","111","3224562"
"создание виртуального офиса","7581479","271","3790739"
"организация резервного копирования","3966938","56","1322312"
"администрирование сетей и серверов","7966220","309","2655406"
"техническая поддержка рабочих станций и ИТ сервисов","7958504","309","3979252"
"веб-разработка","7618676","216","3809338"
"создание мобильных систем","3331750","236","1110583"
"создание и обслуживание систем контроля доступа к портам и устройствам","7707183","102","2569061"
"организацию антивирусной защиты","8539524","222","4269762"
"решения касающиеся сетевой безопасности и отражения угроз","8545909","142","2848636"
"организация систем видеонаблюдения","926175","275","308725"
"построение и обслуживание структурированных кабельных систем (СКС)","742892","120","371446"
"создание и поддержка интеллектуальных медиасистем","1148917","216","382972"
"телефония","5214319","290","1738106"
"создание виртуального офиса","3644309","135","1822154"
"организация резервного копирования","2456994","338","1228497"
"администрирование сетей и серверов","6336675","336","3168337"
"техническая поддержка рабочих станций и ИТ сервисов","8584377","243","4292188"
"веб-разработка","7306464","227","3653232"
"создание мобильных систем","3951572","244","1317190"
"создание и обслуживание систем контроля доступа к портам и устройствам","6661491","197","3330745"
"организацию антивирусной защиты","5280174","106","2640087"
"решения касающиеся сетевой безопасности и отражения угроз","7230833","110","3615416"
"организация систем видеонаблюдения","2764720","105","921573"
"построение и обслуживание структурированных кабельных систем (СКС)","122911","210","61455"
"создание и поддержка интеллектуальных медиасистем","1626270","345","813135"
"телефония","2866324","111","955441"
"создание виртуального офиса","8702669","60","4351334"
"организация резервного копирования","9635699","71","4817849"
"администрирование сетей и серверов","5955615","116","2977807"
"техническая поддержка рабочих станций и ИТ сервисов","5274110","85","2637055"
"веб-разработка","8722413","225","2907471"
"создание мобильных систем","8510497","20","4255248"
"создание и обслуживание систем контроля доступа к портам и устройствам","8595329","207","2865109"
"организацию антивирусной защиты","9492281","339","3164093"
"решения касающиеся сетевой безопасности и отражения угроз","6971330","342","3485665"
"организация систем видеонаблюдения","7388450","282","2462816"
"построение и обслуживание структурированных кабельных систем (СКС)","1760734","15","880367"
"создание и поддержка интеллектуальных медиасистем","716969","99","358484"
"телефония","4506733","151","1502244"
"создание виртуального офиса","138410","60","46136"
"организация резервного копирования","8016144","130","2672048"
"администрирование сетей и серверов","3042042","221","1014014"
"техническая поддержка рабочих станций и ИТ сервисов","354401","163","118133"
"веб-разработка","507590","191","169196"
"создание мобильных систем","2959645","220","1479822"
"создание и обслуживание систем контроля доступа к портам и устройствам","405896","262","135298"
"организацию антивирусной защиты","6324582","92","3162291"
"решения касающиеся сетевой безопасности и отражения угроз","7379157","181","3689578"
"организация систем видеонаблюдения","8414350","101","4207175"
"построение и обслуживание структурированных кабельных систем (СКС)","2194891","313","1097445"
"создание и поддержка интеллектуальных медиасистем","2509530","285","836510"
"телефония","7669568","334","3834784"
"создание виртуального офиса","4427421","343","1475807"
"организация резервного копирования","5884125","329","2942062"
"администрирование сетей и серверов","3471794","242","1157264"
"техническая поддержка рабочих станций и ИТ сервисов","1734456","175","867228"
"веб-разработка","382380","255","127460"
"создание мобильных систем","3507977","316","1169325"
"создание и обслуживание систем контроля доступа к портам и устройствам","6011678","257","3005839"
"организацию антивирусной защиты","5158058","122","2579029"
"решения касающиеся сетевой безопасности и отражения угроз","4869683","78","1623227"
"организация систем видеонаблюдения","4164817","48","1388272"
"построение и обслуживание структурированных кабельных систем (СКС)","6975914","239","2325304"
"создание и поддержка интеллектуальных медиасистем","7692833","228","2564277"
"телефония","1903825","167","634608"
"создание виртуального офиса","7767772","350","3883886"
"организация резервного копирования","7694144","103","2564714"
"администрирование сетей и серверов","8352312","129","2784104"
"техническая поддержка рабочих станций и ИТ сервисов","9928580","223","3309526"
"веб-разработка","7212346","301","2404115"
"создание мобильных систем","1095179","180","365059"
"создание и обслуживание систем контроля доступа к портам и устройствам","2864570","354","1432285"
"организацию антивирусной защиты","5705939","97","1901979"
"решения касающиеся сетевой безопасности и отражения угроз","5142518","251","1714172"
"организация систем видеонаблюдения","5695575","166","1898525"
"построение и обслуживание структурированных кабельных систем (СКС)","6049112","129","3024556"
"создание и поддержка интеллектуальных медиасистем","348808","101","174404"
"телефония","6655607","61","2218535"
"создание виртуального офиса","9034452","345","3011484"
"организация резервного копирования","1020614","301","340204"
"администрирование сетей и серверов","9437435","30","3145811"
"техническая поддержка рабочих станций и ИТ сервисов","2951890","130","1475945"
"веб-разработка","636506","69","318253"
"создание мобильных систем","9861555","170","3287185"
"создание и обслуживание систем контроля доступа к портам и устройствам","4852746","185","2426373"
"организацию антивирусной защиты","7183888","198","3591944"
"решения касающиеся сетевой безопасности и отражения угроз","3855462","14","1285154"
"организация систем видеонаблюдения","2922020","67","974006"
"построение и обслуживание структурированных кабельных систем (СКС)","7128997","296","3564498"
"создание и поддержка интеллектуальных медиасистем","5373720","256","2686860"
"телефония","8717634","229","2905878"
"создание виртуального офиса","3339244","355","1669622"
"организация резервного копирования","4816293","334","1605431"
"администрирование сетей и серверов","3190904","325","1063634"
"техническая поддержка рабочих станций и ИТ сервисов","6749058","317","3374529"
"веб-разработка","5740777","290","2870388"
"создание мобильных систем","548028","264","182676"
"создание и обслуживание систем контроля доступа к портам и устройствам","1904437","330","634812"
"организацию антивирусной защиты","3440810","189","1720405"
"решения касающиеся сетевой безопасности и отражения угроз","2864605","184","1432302"
"организация систем видеонаблюдения","294344","95","147172"
"построение и обслуживание структурированных кабельных систем (СКС)","5534925","266","1844975"
"создание и поддержка интеллектуальных медиасистем","5073070","266","2536535"
"телефония","5261736","39","2630868"
"создание виртуального офиса","6668034","350","3334017"
"организация резервного копирования","5378725","263","2689362"
"администрирование сетей и серверов","903954","306","301318"
"техническая поддержка рабочих станций и ИТ сервисов","3086399","253","1543199"
"веб-разработка","7219507","137","2406502"
"создание мобильных систем","8443572","317","4221786"
"создание и обслуживание систем контроля доступа к портам и устройствам","2496688","348","832229"
"организацию антивирусной защиты","605419","221","302709"
"решения касающиеся сетевой безопасности и отражения угроз","7081285","269","2360428"
"организация систем видеонаблюдения","3581131","28","1790565"
"построение и обслуживание структурированных кабельных систем (СКС)","4029047","69","2014523"
"создание и поддержка интеллектуальных медиасистем","9744576","341","4872288"
"телефония","8494135","141","2831378"
"создание виртуального офиса","8764287","162","4382143"
"организация резервного копирования","2804080","314","1402040"
"администрирование сетей и серверов","1414168","285","471389"
"техническая поддержка рабочих станций и ИТ сервисов","411947","99","137315"
"веб-разработка","6499797","103","3249898"
"создание мобильных систем","6167004","349","2055668"
"создание и обслуживание систем контроля доступа к портам и устройствам","3192268","282","1596134"
"организацию антивирусной защиты","9370554","138","3123518"
"решения касающиеся сетевой безопасности и отражения угроз","8214184","48","2738061"
"организация систем видеонаблюдения","8004954","165","2668318"
"построение и обслуживание структурированных кабельных систем (СКС)","9032494","256","3010831"
"создание и поддержка интеллектуальных медиасистем","178215","323","89107"
"телефония","5564794","256","1854931"
"создание виртуального офиса","8408933","150","4204466"
"организация резервного копирования","9696742","90","3232247"
"администрирование сетей и серверов","2637328","126","879109"
"техническая поддержка рабочих станций и ИТ сервисов","4880885","26","2440442"
"веб-разработка","5750969","142","1916989"
"создание мобильных систем","3454087","245","1727043"
"создание и обслуживание систем контроля доступа к портам и устройствам","8941664","202","4470832"
"организацию антивирусной защиты","3910461","269","1955230"
"решения касающиеся сетевой безопасности и отражения угроз","5582518","104","2791259"
"организация систем видеонаблюдения","1943309","90","971654"
"построение и обслуживание структурированных кабельных систем (СКС)","4203746","275","1401248"
"создание и поддержка интеллектуальных медиасистем","8905332","354","4452666"
"телефония","6704573","283","2234857"
"создание виртуального офиса","9345398","286","3115132"
"организация резервного копирования","1153393","314","384464"
"администрирование сетей и серверов","4973001","289","2486500"
"техническая поддержка рабочих станций и ИТ сервисов","9117943","276","3039314"
"веб-разработка","2920186","255","1460093"
"создание мобильных систем","6037386","66","2012462"
"создание и обслуживание систем контроля доступа к портам и устройствам","6894590","359","2298196"
"организацию антивирусной защиты","2608117","14","869372"
"решения касающиеся сетевой безопасности и отражения угроз","3629320","145","1814660"
"организация систем видеонаблюдения","6288099","362","3144049"
"построение и обслуживание структурированных кабельных систем (СКС)","1312916","38","437638"
"создание и поддержка интеллектуальных медиасистем","2474610","360","824870"
"телефония","7279870","129","2426623"
"создание виртуального офиса","1845077","198","615025"
"организация резервного копирования","8625045","177","4312522"
"администрирование сетей и серверов","6242933","101","2080977"
"техническая поддержка рабочих станций и ИТ сервисов","5427908","347","2713954"
"веб-разработка","764628","27","382314"
"создание мобильных систем","9268638","357","3089546"
"создание и обслуживание систем контроля доступа к портам и устройствам","1483283","146","494427"
"организацию антивирусной защиты","6659302","97","2219767"
"решения касающиеся сетевой безопасности и отражения угроз","9726495","60","3242165"
"организация систем видеонаблюдения","2308647","195","769549"
"построение и обслуживание структурированных кабельных систем (СКС)","9601841","123","4800920"
"создание и поддержка интеллектуальных медиасистем","4819661","306","1606553"
"телефония","652659","63","217553"
"создание виртуального офиса","2394864","327","798288"
"организация резервного копирования","4169959","276","1389986"
"администрирование сетей и серверов","1279960","146","639980"
"техническая поддержка рабочих станций и ИТ сервисов","7157018","356","3578509"
"веб-разработка","7398090","363","2466030"
"создание мобильных систем","157792","76","78896"
"создание и обслуживание систем контроля доступа к портам и устройствам","6856476","251","2285492"
"организацию антивирусной защиты","9004800","168","3001600"
"решения касающиеся сетевой безопасности и отражения угроз","1844224","137","614741"
"организация систем видеонаблюдения","2294717","100","1147358"
"построение и обслуживание структурированных кабельных систем (СКС)","8982261","132","4491130"
"создание и поддержка интеллектуальных медиасистем","2004294","301","668098"
"телефония","3414944","126","1138314"
"создание виртуального офиса","1457529","205","485843"
"организация резервного копирования","9450760","245","4725380"
"администрирование сетей и серверов","743312","15","371656"
"техническая поддержка рабочих станций и ИТ сервисов","2366857","300","1183428"
"веб-разработка","3933287","215","1966643"
"создание мобильных систем","6036535","320","3018267"
"создание и обслуживание систем контроля доступа к портам и устройствам","238810","347","119405"
"организацию антивирусной защиты","380082","243","190041"
"решения касающиеся сетевой безопасности и отражения угроз","6377240","202","2125746"
"организация систем видеонаблюдения","7362879","144","3681439"
"построение и обслуживание структурированных кабельных систем (СКС)","4898663","132","2449331"
"создание и поддержка интеллектуальных медиасистем","3543765","277","1181255"
"телефония","908409","203","302803"
"создание виртуального офиса","7454450","119","3727225"
"организация резервного копирования","5080633","280","2540316"
"администрирование сетей и серверов","8651767","129","2883922"
"техническая поддержка рабочих станций и ИТ сервисов","9922522","139","3307507"
"веб-разработка","464364","239","154788"
"создание мобильных систем","2506717","27","835572"
"создание и обслуживание систем контроля доступа к портам и устройствам","2515540","327","838513"
"организацию антивирусной защиты","8956009","172","2985336"
"решения касающиеся сетевой безопасности и отражения угроз","2457908","218","1228954"
"организация систем видеонаблюдения","9760349","345","4880174"
"построение и обслуживание структурированных кабельных систем (СКС)","2817003","279","1408501"
"создание и поддержка интеллектуальных медиасистем","9144636","58","3048212"
"телефония","905905","16","452952"
"создание виртуального офиса","5709881","107","2854940"
"организация резервного копирования","4807780","171","1602593"
"администрирование сетей и серверов","7163917","53","3581958"
"техническая поддержка рабочих станций и ИТ сервисов","3919462","137","1959731"
"веб-разработка","5800112","330","1933370"
"создание мобильных систем","272858","301","90952"
"создание и обслуживание систем контроля доступа к портам и устройствам","9070079","54","3023359"
"организацию антивирусной защиты","5224107","125","1741369"
"решения касающиеся сетевой безопасности и отражения угроз","9402168","308","4701084"
"организация систем видеонаблюдения","9704905","181","3234968"
"построение и обслуживание структурированных кабельных систем (СКС)","8533855","73","2844618"
"создание и поддержка интеллектуальных медиасистем","4076138","352","1358712"
"телефония","7427757","21","3713878"
"создание виртуального офиса","8952308","154","2984102"
"организация резервного копирования","1378343","228","459447"
"администрирование сетей и серверов","7290291","204","3645145"
"техническая поддержка рабочих станций и ИТ сервисов","9886694","155","4943347"
"веб-разработка","8857779","257","4428889"
"создание мобильных систем","5343484","332","1781161"
"создание и обслуживание систем контроля доступа к портам и устройствам","2989372","101","1494686"
"организацию антивирусной защиты","1007747","223","503873"
"решения касающиеся сетевой безопасности и отражения угроз","3374520","289","1124840"
"организация систем видеонаблюдения","9860566","129","4930283"
"построение и обслуживание структурированных кабельных систем (СКС)","9118297","54","4559148"
"создание и поддержка интеллектуальных медиасистем","7843490","158","2614496"
"телефония","9519100","132","3173033"
"создание виртуального офиса","5412576","95","1804192"
"организация резервного копирования","7129172","117","2376390"
"администрирование сетей и серверов","1938929","120","969464"
"техническая поддержка рабочих станций и ИТ сервисов","3993067","245","1331022"
"веб-разработка","6577877","284","2192625"
"создание мобильных систем","1940841","102","970420"
"создание и обслуживание систем контроля доступа к портам и устройствам","8705886","342","2901962"
"организацию антивирусной защиты","2298601","120","766200"
"решения касающиеся сетевой безопасности и отражения угроз","6266795","261","2088931"
"организация систем видеонаблюдения","2980448","44","1490224"
"построение и обслуживание структурированных кабельных систем (СКС)","4794795","293","1598265"
"создание и поддержка интеллектуальных медиасистем","4473279","55","1491093"
"телефония","6503116","84","2167705"
"создание виртуального офиса","1564359","299","782179"
"организация резервного копирования","3676317","200","1225439"
"администрирование сетей и серверов","6484262","168","2161420"
"техническая поддержка рабочих станций и ИТ сервисов","1528414","218","509471"
"веб-разработка","6272332","282","3136166"
"создание мобильных систем","8214259","295","4107129"
"создание и обслуживание систем контроля доступа к портам и устройствам","2937647","109","979215"
"организацию антивирусной защиты","3604229","125","1802114"
"решения касающиеся сетевой безопасности и отражения угроз","142580","163","71290"
"организация систем видеонаблюдения","7054451","167","2351483"
"построение и обслуживание структурированных кабельных систем (СКС)","7364012","339","3682006"
"создание и поддержка интеллектуальных медиасистем","1288382","276","429460"
"телефония","9188795","65","4594397"
"создание виртуального офиса","5630912","229","1876970"
"организация резервного копирования","4273631","307","2136815"
"администрирование сетей и серверов","3635724","159","1817862"
"техническая поддержка рабочих станций и ИТ сервисов","3181736","352","1590868"
"веб-разработка","6154920","331","3077460"
"создание мобильных систем","6724861","329","3362430"
"создание и обслуживание систем контроля доступа к портам и устройствам","3102640","144","1551320"
"организацию антивирусной защиты","4119852","171","1373284"
"решения касающиеся сетевой безопасности и отражения угроз","7606426","27","2535475"
"организация систем видеонаблюдения","3030782","280","1515391"
"построение и обслуживание структурированных кабельных систем (СКС)","4391537","281","2195768"
"создание и поддержка интеллектуальных медиасистем","162103","19","54034"
"телефония","348565","206","174282"
"создание виртуального офиса","1311331","101","655665"
"организация резервного копирования","4932667","307","1644222"
"администрирование сетей и серверов","1647447","37","823723"
"техническая поддержка рабочих станций и ИТ сервисов","834587","151","278195"
"веб-разработка","8992900","305","2997633"
"создание мобильных систем","132771","223","66385"
"создание и обслуживание систем контроля доступа к портам и устройствам","3450799","197","1150266"
"организацию антивирусной защиты","7370020","223","2456673"
"решения касающиеся сетевой безопасности и отражения угроз","2146422","301","1073211"
"организация систем видеонаблюдения","6685704","256","2228568"
"построение и обслуживание структурированных кабельных систем (СКС)","5304432","237","1768144"
"создание и поддержка интеллектуальных медиасистем","3483567","14","1161189"
"телефония","2204822","338","734940"
"создание виртуального офиса","8745270","352","2915090"
"организация резервного копирования","5608470","286","2804235"
"администрирование сетей и серверов","6889331","254","2296443"
"техническая поддержка рабочих станций и ИТ сервисов","2677589","26","1338794"
"веб-разработка","6928485","361","2309495"
"создание мобильных систем","804993","338","268331"
"создание и обслуживание систем контроля доступа к портам и устройствам","3666324","107","1222108"
"организацию антивирусной защиты","1720799","228","860399"
"решения касающиеся сетевой безопасности и отражения угроз","6941246","249","3470623"
"организация систем видеонаблюдения","1111661","70","370553"
"построение и обслуживание структурированных кабельных систем (СКС)","6326001","14","3163000"
"создание и поддержка интеллектуальных медиасистем","3629385","142","1814692"
"телефония","6872253","70","2290751"
"создание виртуального офиса","5468401","60","1822800"
"организация резервного копирования","4307642","40","2153821"
"администрирование сетей и серверов","8700375","328","4350187"
"техническая поддержка рабочих станций и ИТ сервисов","6520241","332","3260120"
"веб-разработка","8164817","189","2721605"
"создание мобильных систем","3194848","91","1064949"
"создание и обслуживание систем контроля доступа к портам и устройствам","1463047","195","487682"
"организацию антивирусной защиты","3383425","82","1691712"
"решения касающиеся сетевой безопасности и отражения угроз","6856224","193","3428112"
"организация систем видеонаблюдения","7250916","112","2416972"
"построение и обслуживание структурированных кабельных систем (СКС)","7277245","358","3638622"
"создание и поддержка интеллектуальных медиасистем","9100265","324","4550132"
"телефония","4515126","293","2257563"
"создание виртуального офиса","9728081","364","4864040"
"организация резервного копирования","4482220","357","2241110"
"администрирование сетей и серверов","5806146","356","2903073"
